COUNTY,DEMOCRAT,REPUBLICAN,OTHER,PERCENT_DEM,PERCENT_REP,PERCENT_OTH,TOTAL_VOTES,PERCENT_VOTERS,POP_MALE,POP_FEMALE,PERCENT_MALE,PERCENT_FEMALE,TOTAL_POPULATION,PERCAPITA_INCOME
Atlantic,"67,830","49,902","1,157",57.05,41.97,0.97,"118,889",43.93,"131,622","138,987",48.64,51.36,"270,609","39,709"
Bergen,"225,367","186,118","4,424",54.19,44.75,1.06,"415,909",46.74,"433,344","456,571",48.69,51.31,"889,915","67,375"
Burlington,"131,219","89,626","2,930",58.64,40.05,1.31,"223,775",50.23,"220,905","224,587",49.59,50.41,"445,492","47,985"
Camden,"159,259","68,317","3,304",68.98,29.59,1.43,"230,880",44.59,"251,317","266,422",48.54,51.46,"517,739","42,260"
Cape May,"22,893","27,288",802,44.9,53.52,1.57,"50,983",52.85,"46,395","50,075",48.09,51.91,"96,470","47,398"
Cumberland,"34,919","22,360",915,60,38.42,1.57,"58,194",37.12,"81,009","75,775",51.67,48.33,"156,784","32,735"
Essex,"240,306","73,975","2,181",75.94,23.38,0.69,"316,462",41.26,"370,039","397,036",48.24,51.76,"767,075","51,039"
Gloucester,"77,267","60,315","2,364",55.21,43.1,1.69,"139,946",48.56,"140,511","147,657",48.76,51.24,"288,168","40,898"
Hudson,"154,140","52,354","2,116",73.89,25.1,1.01,"208,610",35.23,"293,539","298,572",49.57,50.43,"592,111","43,464"
Hunterdon,"29,776","39,092","1,147",42.53,55.83,1.64,"70,015",53.94,"64,920","64,886",50.01,49.99,"129,806","68,827"
Mercer,"107,926","50,397","2,229",67.22,31.39,1.39,"160,552",44.04,"179,505","185,066",49.24,50.76,"364,571","52,752"
Middlesex,"193,812","122,586","4,367",60.42,38.22,1.36,"320,765",40.84,"387,945","397,379",49.4,50.6,"785,324","49,036"
Monmouth,"148,737","160,433","4,244",47.46,51.19,1.35,"313,414",48.83,"314,756","327,108",49.04,50.96,"641,864","59,079"
Morris,"112,275","132,331","2,913",45.36,53.46,1.18,"247,519",50.83,"240,673","246,273",49.42,50.58,"486,946","71,990"
Ocean,"110,189","160,677","4,111",40.07,58.43,1.5,"274,977",48.27,"272,938","296,724",47.91,52.09,"569,662","41,275"
Passaic,"113,257","71,850","1,904",60.56,38.42,1.02,"187,011",38.29,"238,314","250,050",48.8,51.2,"488,364","41,658"
Salem,"16,044","14,816",672,50.88,46.99,2.13,"31,532",47.64,"32,227","33,967",48.69,51.31,"66,194","39,254"
Somerset,"79,321","70,085","2,024",52.38,46.28,1.34,"151,430",46.86,"159,714","163,446",49.42,50.58,"323,160","73,126"
Sussex,"28,840","44,184","1,393",38.75,59.37,1.87,"74,417",49.14,"75,427","76,004",49.81,50.19,"151,431","49,743"
Union,"141,417","78,768","2,241",63.58,35.41,1.01,"222,426",42.63,"254,792","267,024",48.83,51.17,"521,816","51,651"
Warren,"20,628","27,500",980,42.01,56,2,"49,108",44.69,"53,881","56,016",49.03,50.97,"109,897","44,079"
Statewide,"2,215,422","1,602,974","48,418",57.29,41.45,1.25,"3,866,814",44.63,"4,243,773","4,419,625",48.99,51.01,"8,663,398","54,987"
